Title,View Count,Subscriber Count,Video Count
MrBeast,42593856693,237000000,775
PewDiePie,29223985799,111000000,4750
Cocomelon - Nursery Rhymes,175653804169,171000000,1077
SET India,158305161574,168000000,128874
✿ Kids Diana Show,99857418197,119000000,1158
Like Nastya,97424623655,112000000,865
Vlad and Niki,84763594095,110000000,654
WWE,81472005268,99400000,73847
Goldmines Dishoom,9461940323,30100000,4586
BLACKPINK,34596981027,92900000,592
5-Minute Crafts,27028159076,80600000,6852
BANGTANTV,22285500770,77400000,2443
Sony SAB,110150053242,89200000,79387
Zee TV,85165597267,77200000,162409
HYBE LABELS,32195801966,73900000,1612
Pinkfong Baby Shark - Kids' Songs & Stories,41945221221,72600000,3160
Shemaroo Filmi Gaane,29794703571,67500000,8737
Canal KondZilla,37849640983,66900000,2732
T-Series Bhakti Sagar,32591830681,65800000,27239
Tips Official,36616266254,63600000,5360
Aaj Tak,28805795448,62000000,334142
Movieclips,60947137554,60600000,40068
Wave Music,41957734259,60600000,19877
Infobells - Hindi,34272063989,59300000,639
Sony Music India,30735137140,59200000,4356
EminemMusic,28841932528,58800000,160
YRF,39141787374,58300000,3954
Marshmello,15277500103,56800000,465
Taylor Swift,33022526691,56300000,225
LooLoo Kids - Nursery Rhymes and Children's Songs,33768271660,56000000,784
Ed Sheeran,31472569633,54100000,455
Ariana Grande,25172247279,53500000,167
Shemaroo,24012796505,51500000,11694
Badabun,19641526209,47300000,20627
ARY Digital HD,47235518776,50700000,129193
A4,26409275962,50700000,862
HAR PAL GEO,48486518634,50300000,120626
Get Movies,32002048132,49400000,3399
JuegaGerman,15047906706,49300000,2095
SonyMusicIndiaVEVO,29613711167,49100000,3655
Bad Bunny,33629776619,47500000,154
Sony SAB,110150053242,89200000,79387
Justin Bieber,31666200645,72500000,249
Colors TV,67861202697,70300000,131768
ChuChu TV Nursery Rhymes & Kids Songs,49432145694,69900000,770
Mikecrack,17774398576,47500000,1988
Voot Kids,22424357368,47100000,5342
Fernanfloo,10509379903,46900000,544
Shakira,29446247079,45500000,342
Você Sabia?,8012354235,45200000,1626
Jess No Limit,5847659539,45300000,2682
Alan Walker,13693266820,44900000,518
ZAMZAM ELECTRONICS TRADING,20088672912,45200000,17314
Katy Perry,26265639619,44700000,135
BRIGHT SIDE,10987803293,44500000,7273
whinderssonnunes,4436401130,44500000,728
Kimberly Loaiza,6328957010,44200000,317
BETER BÖCÜK,26296803473,44300000,3930
Ishtar Music,19259626042,43800000,4545
HolaSoyGerman.,4867615731,43700000,136
YOLO AVENTURAS,13697950329,44000000,2161
Speed Records,27990716562,43300000,11263
Like Nastya,97424623655,112000000,865
Rihanna,23606574806,42700000,85
Ricis Official,7173539155,42600000,3793
shfa2 - شفا,25854501142,42300000,1704
LUCCAS NETO - LUCCAS TOON,24029883764,41900000,2553
Luisito Comunica,9240082331,41700000,1325
MrBeast Gaming,7407951395,41700000,141
CarryMinati,3620564801,41300000,193
Sony PAL,31348610663,41400000,26679
Super Simple Songs - Kids Songs,48829274240,41000000,780
Little Baby Bum - Nursery Rhymes & Kids Songs,40109590274,40900000,2568
Goldmines Gaane Sune Ansune,18079759781,40700000,3681
shfa,23506034104,40700000,1075
Fede Vigevani,11177420123,40900000,1212
elrubiusOMG,7434578721,40300000,701
WorkpointOfficial,37443087248,40200000,78470
ABP NEWS,14964166007,40300000,349706
GR6 EXPLODE,27048667319,40100000,3215
TEDx Talks,7706743786,40100000,210140
XXXTENTACION,10853942580,39900000,135
Vlad and Niki,84763594095,110000000,654
Like Nastya ESP,19412191378,39600000,808
Total Gaming,5200484871,39400000,890
Maria Clara & JP,26104913412,39400000,785
Markiplier,21141971627,36400000,5570
VanossGaming,15907083796,25900000,1860
VEGETTA777,15677735256,34000000,7836
Felipe Neto,17352268309,46100000,4614
Lachlan,5471363011,15000000,3880
rezendeevil,13329493965,32500000,12067
jacksepticeye,16618456283,30600000,5181
DanTDM,19724599537,28500000,3704
SSSniperWolf,24584324057,34300000,3486
Jelly,14992331794,23600000,6272
Ninja,2643669118,23900000,1920
The Game Theorists,4055937906,18900000,672
EvanTubeHD,4573610793,7020000,931
David Dobrik,7220639788,17600000,536
